Player,Team,Pos,Tgt,Rec,Yds,Y/R,TD,R/G,Y/G,Ctch%,Y/Tgt,Fmb,-9999
Riley Leonard,IND,QB,0,0,0,,0,0.0,0.0,,,0,LeonRi02
Drew Lock,SEA,QB,0,0,0,,0,0.0,0.0,,,1,LockDr00
Jordan Love,GNB,QB,0,0,0,,0,0.0,0.0,,,6,LoveJo03
Patrick Mahomes,KAN,QB,0,0,0,,0,0.0,0.0,,,3,MahoPa00
Braden Mann,PHI,P,0,0,0,,0,0.0,0.0,,,0,MannBr01
Marcus Mariota,WAS,QB,0,0,0,,0,0.0,0.0,,,3,MariMa01
Adrian Martinez,SFO,QB,0,0,0,,0,0.0,0.0,,,0,MartAd00
Baker Mayfield,TAM,QB,0,0,0,,0,0.0,0.0,,,8,MayfBa00
J.J. McCarthy,MIN,QB,0,0,0,,0,0.0,0.0,,,5,McCaJJ00
Tanner McKee,PHI,QB,0,0,0,,0,0.0,0.0,,,0,McKeTa01
Davis Mills,HOU,QB,0,0,0,,0,0.0,0.0,,,1,MillDa02
Jalen Milroe,SEA,QB,0,0,0,,0,0.0,0.0,,,1,MilrJa00
Kendall Milton,CIN,RB,0,0,0,,0,0.0,0.0,,,0,MiltKe01
Gardner Minshew II,KAN,QB,0,0,0,,0,0.0,0.0,,,0,MinsGa00
Elijah Mitchell,KAN,RB,1,0,0,,0,0.0,0.0,0.0,0.0,0,MitcEl00
Nick Mullens,JAX,QB,0,0,0,,0,0.0,0.0,,,0,MullNi00
Kyler Murray,ARI,QB,0,0,0,,0,0.0,0.0,,,1,MurrKy00
Bo Nix,DEN,QB,1,0,0,,0,0.0,0.0,0.0,0.0,3,NixxBo00
Jaret Patterson,LAC,RB,0,0,0,,0,0.0,0.0,,,0,PattJa01
